Name;String
StartButton;Start
SettingsButton;Settings
CreditsButton;Credits
ExitButton;Quit
MusicLabel;Music
EffectsLabel;Effects
LanguageLabel;Language
ReturnLabel;Ok
MoneyDescriptionText;Это показатель денег.@Овациями сыт не будешь, поэтому группа всегда должна быть при деньгах,@поэтому следи, чтоб денег было не слишком мало, но и не слишком много
PopularityDescriptionText;Это показатель стресса@Стресс всегда преследует звёзд. Старайся не съехать с катушек.@Много стресса точно плохо скажется на твоем состоянии, но и чересчур расслабленным быть тоже вредно
PsycheDescriptionText;Это показатель популярности@Без зрителей вы никому не нужны, поэтому поддерживай уровень популярности. Если он будет слишком низкий никто не будет ходить на ваши концерты и покупать мерч, а если станете слишком популярными...@ты же слышал про Джона Ленона?
