Id;Text;SpriteName;MoneyImpact;psycheImpact;popularityImpact;isEncounter
126;Gregory: «Hmm... The new janitor hasn't been found yet, and the stage is dirty as hell.»;main_character_3;0;0;0;True
127;Yes - yes, clean the floors by yourself, this is what the soloists do, right?;metla;5;-5;0;False
128;You filled all the dirt with red paint. Now the scene looks like a scene of a bloody carnage. AWESOME!;krov;-5;5;0;False
129;Bassist: «Your hands are like those of a church pianist-girl... Go and paint your nails, don't embarrass yourself!»;bassist;0;0;0;True
130;Knowing not much about death metal, you ask the girl in the salon to paint your nails black. So original...;nogotochki;-5;0;-5;False
131;You ask the girl in the salon to turn your hands into the claws of the beast, bringing fear and destruction. You leave the salon with red and yellow nails. Who knew Ronald McDonald scares the shit out of her.;kogti;-5;0;5;False
132;Chief: «The previous soloist was obviously in better shape than this one. Get in the gym and get him in shape!»;shef;0;0;0;True
133;Seeing the mess in the gym, you begin mopping the floors and wiping the dust out of force of habit. After this, you were awarded a subscription for the whole year. You definitely didn't come for this, but this is also not so bad.;metla;5;2;-10;False
134;You understand that the weight of the bar is clearly beyond your strength. However, the thought that iron is also a metal, makes you start ligting it furiously, turning yourself into death metal Schwarzenegger.;kachalka;-5;-2;10;False
135;Gregory: «Maybe I need to listen to at least something from metal, I know nothing about it»;main_character_3;0;0;0;True
136;You found your mom's Twisted Nipple collection. I won't comment on it.;;0;10;0;False
137;You were enough for 3 Cannibal Horse songs. Though even they made you call your therapist.;;0;-10;0;False
138;Gregory: «Crap!@I can't play the guitar!»;main_character_3;0;0;0;True
139;You spent hours studying sheet music and music theory. God forbid you use 5% of this;ruki;0;-10;-10;False
140;You tuned your guitar so low that no human ear can distinguish a note in this hum. Exactly what you need!;guitar_blood;0;10;10;False
141;"Барабанщик: ""Хэй, концерт уже через неделю, как у тебя с подготовкой?""";drummer;0;0;0;True
142;Нумг… Я пымтаюсь, но репертуар очень сломжный, а еще тексты слишком жестокие и…;gregory_dogi_1;0;-10;-10;False
143;Готов ли я? Да это концерт для меня не готов!;gregory_dogi_0;0;10;10;False
144;Грегори: «Хм, надо бы приукрасить квартиру!»;main_character_3;0;0;0;True
145;Ты идешь в ближайший рок шоп и закупаешь много атрибутики, которая даже не связана с дэд металом. Надеюсь, что никто не узнает, какой ты позер.;goat;-10;5;0;False
146;Ты украл из ближайшего музея чучело черного козла. Очень аутентично!;goat;0;-5;10;False
147;"Басист:""Нам нужно лучше распиарить концерт. Иди наклепай пару плакатов.""";bassist;0;0;0;True
148;Ты решил использовать дизайн постера другой метал группы лишь изменив название. Однако ты забыл убрать пометку о бесплатном бухле на концерте. Теперь у вас проблемки;;-20;0;10;False
149;Ты решил печатать свои постеры кровью. Теперь у нас есть 5 постеров на весь город и одно полумертвое тело по имени Грегори;;0;-20;0;False
150;"Бассист:""Шеф сказала, что нам нужна новая хореография. Мои идеи ей не зашли, так что теперь это твоя задача.";bassist;0;0;0;True
151;У тебя вышла странная смесь телодвижений, начинающаяся танцующими пальцами и заканчивающаяся червяком;;0;10;-10;False
152;Ты решил бегать по сцене на полусогнутых ногах как злой краб. Неудобно, злобно и страшно, хорошая работа!;;0;-10;10;False
153;Твой кот нагадил на диван;kot;0;0;0;True
154;Ты смирился и всё убрал.@Бета остается бетой.;metla;0;-5;0;False
155;Ты насрал в лоток коту.@Черт! А в голове это выглядело брутально :|;lotok;0;-10;0;False
156;"Бомж:""Хэй, капитан, мелочи не найдётся?""";bomzh2;0;0;0;True
157;Ты излил душу бомжу. Он решил отдать тебе все накопленные гроши. Надеюсь, что ты гордишься собой.;main_character_3;10;-10;0;False
158;Ты предлагаешь ему денег за его бессмертную душу. Бедолага бежит прочь, сверкая пятками.;main_character_1;-10;10;0;False
159;Ты видишь бродячего кота на улице.;kot_stoit;0;0;0;True
160;Ты гладишь кота и чувствуешь себя лучше.;kot;0;20;0;False
161;Ты гладишь кота и чувствуешь себя лучше. Кто вообще будет обижать котиков?;kot;0;20;0;False
162;"Шеф: ""Грегори, нам нужны оригинальные спецэффекты, придумай что-нибудь""";shef;0;0;0;True
