Id;Text;SpriteName;MoneyImpact;psycheImpact;popularityImpact;isEncounter
313;Телефон: Пам Парам Пам Парам...;phone;0;0;0;false
314;"Грегори: ""Шеф?"" """;main_character_3;0;0;0;false
315;"Шеф: ""ПОЧЕМУ БЛЯТЬ ТЕБЯ ЕЩЁ НЕТ НА САУНДЧЕКЕ?! Концерт через 2 часа!""";shef;0;0;0;false
316;"Грегори: ""Что?! Но мне даже никто не…""";main_character_3;0;0;0;false
317;"Шеф: ""Да выдохни ты, какой нахер саундчек? Мы же не поп-рок дрочилы"" ";shef;0;0;0;false
318;"Грегори: ""…""";main_character_3;0;0;0;false
319;"Шеф: ""Короче, дуй сюда быстрее и без опозданий""";shef;0;0;0;false
320;"Грегори: ""Но…""";main_character_3;0;0;0;false
321;Телефон: “Буп, буп, буп…” ;phone;0;0;0;false
322;"Грегори: ""…""";main_character_3;0;0;0;false
323;"Грегори: ""Бля…""";main_character_3;0;0;0;false
324;1 час спустя;;0;0;0;false
325;Грегори: Вау! Какая огромная толпа(20 бухих тел)@Надо понять, как разогреть их всех;concert;0;0;0;true
326;Ты пытаешься распеть зал. Однако толпа пьянющих дэд металистов вряд ли различит сейчас собственное имя, не то что ноту.  ;concert;0;0;0;false
327;Ты яростно гроул-йоделишь перед толпой. Очень эффектно!;concert;0;0;0;false
328;Ты наконец входишь во вкус, и начинаешь ебашить на гитаре как бешенный демон;main_character_1;0;0;0;false
329;"Время для бэнгера! Твой главный хит ""Абсолютная Смерть"". Фаны ждут зубную гитару, давай, не подведи!";guitar_normal;0;0;0;false
330;TEETH GUITAR GAME;;0;0;0;false
331;Ты сломал почти все струны, Идиот!;guitathero_loss;0;0;0;false
332;Ты сделал это@Но какой ценой...;guitathero_win;0;0;0;false
333;Хейтер залез на сцену, кажется у него есть парочка критических аргументов;hater;0;0;0;false
334;HATER GAME;;0;0;0;false
335;Он избил тебя до полусмерти и забрал микрофон.@Похоже, теперь он новый солист.@Мир металла воистину жесток.;fight_loss;0;0;0;false
336;Чёрт, похоже это оказался перепивший фанат.@Ладно, пни его куда-нибудь под сцену, нужно заканчивать концерт.;fight_win;0;0;0;false
337;Всё идет просто отлично!@Толпа с поднятыми руками скандирует;concert;0;0;0;false
338;"Толпа: DDD ... DDD ... DDD""";concert;0;0;0;false
339;Постой, ты чё удумал?!!!;main_character_1;0;0;0;false
340;JUMP GAME;;0;0;0;false
341;Ты упал, тебя растоптали, никто даже не заметил твоего отсутствия.;;0;0;0;false
342;На обратном пути какой-то поехавший вырвал тебе клок волос.@Хэй, радуйся, что тебя хоть живым вернули!;;0;0;0;false
343;Какое то время спустя после концерта;;0;0;0;false
344;"Шеф: ""Это. Просто. Ахуенно""";shef;0;0;0;false
345;"Шеф: ""Слушай, Грегори, ты не хочешь присоедениться к нам на постоянной основе?""";shef;0;0;0;false
346;"Грегори: ""А как же ваш предыдущий солист?""";main_character_1;0;0;0;false
347;"Шеф: ""Ха, не волнуйся, после недели в госпитале он сказал,@ что эта работа слишком стрессовая для него""";shef;0;0;0;false
348;"Шеф: ""Мда... Я всегда знала, что он неженка""";shef;0;0;0;false
349;"Шеф: ""В любом случае, каково твое решение""?";shef;0;0;0;true
350;"Грегори: ""Извините меня.. но знаете, вообще-то, это не та работа которую я искал...""";main_character_3;0;0;0;false
351;"Грегори: ""Стать рок звездой или остаться уборщиком, хе-хе, у кого еще есть такой выбор@Ладно, похуй, я в деле суки!""";main_character_1;0;0;0;false
