Id;Text;SpriteName;MoneyImpact;psycheImpact;popularityImpact;isEncounter
126;Грегори: Хм… Нового уборщика еще не нашли, а сцена чертовски грязная.;main_character_3;0;0;0;True
127;Да-да, драй полы сам, так солисты и делают верно?;metla;5;-5;0;False
128; Ты залил грязь красной краской. Теперь сцена выглядит как место кровавой бойни. ПОТРЯСНО!;krov;-5;5;0;False
129;"Басист:""У тебя руки, как у церковной пианистки… Иди и покрась ногти, не позорься!""";bassist;0;0;0;True
130;Не особо разбераясь в дэд метале ты просишь девушку в салоне покрасить твои ногти в черный цвет.Оригинальности у тебя хоть отбавляй.;nogotochki;-5;0;-5;False
131;"Ты просишь девушку в салоне перваратить твои руки в ""когти зверя, приносящего страх и разрушение"". Ты выходишь из салона с красно-желтыми ногтями. Кто ж знал, что её до усрачки пугает Рональд Макдональд";kogti;-5;0;5;False
132;"Шеф: ""Солист был явно в лучшей форме чем он. Идите в качалку и приведите его в порядок!""";shef;0;0;0;True
133;Увидя беспорядок в спортзале, ты по привычке начал мыть полы и протерать пыль. За это вам вручили абонименты на весь год. Ты явно не за этим пришел, но тоже неплохо.;metla;5;2;-10;False
134;Ты понимаешь что тяжесть штанги явно для тебя непосильна. Однако вспомнив, что железо - это тоже метал, начинаешь неистово тягать его, превращая себя в дэд метал Шварнценегера.;kachalka;-5;-2;10;False
135;"Грегори:""Наверное, стоит хоть послушать что-то из металла, я ведь совсем не разбираюсь в этом""";main_character_3;0;0;0;True
136;Ты нашел мамину коллекцию с песнями Twisted Nipple. Я не буду этого комментировать.;;0;10;0;False
137;Тебя хватило на 3 песни Cannibal Horse. Хотя даже они заставили тебя позвонить своему психотерапевту.;;0;-10;0;False
138;Грегори: «Черт!@Я же не умею играть на гитаре!»;main_character_3;0;0;0;True
139;Ты потратил часы времени на изучение нот и теории музыки. Дай бог ты используешь от этого 5%;ruki;0;-10;-10;False
140; Ты состроил гитару так низко, что ни одно человеческое ухо не сможет отличить в этом гуле ноту. То что нужно!;guitar_blood;0;10;10;False
141;"Барабанщик: ""Хэй, концерт уже через неделю, как у тебя с подготовкой?""";drummer;0;0;0;True
142;Нумг… Я пымтаюсь, но репертуар очень сломжный, а еще тексты слишком жестокие и…;gregory_dogi_1;0;-10;-10;False
143;Готов ли я? Да это концерт для меня не готов!;gregory_dogi_0;0;10;10;False
144;Грегори: «Хм, надо бы приукрасить квартиру!»;main_character_3;0;0;0;True
145;Ты идешь в ближайший рок шоп и закупаешь много атрибутики, которая даже не связана с дэд металом. Надеюсь, что никто не узнает, какой ты позер.;goat;-10;5;0;False
146;Ты украл из ближайшего музея чучело черного козла. Очень аутентично!;goat;0;-5;10;False
147;"Басист:""Нам нужно лучше распиарить концерт. Иди наклепай пару плакатов.""";bassist;0;0;0;True
148; Ты решил использовать дизайн постера другой метал группы лишь изменив название. Однако ты забыл убрать пометку о бесплатном бухле на концерте. Теперь у вас проблемки;;-20;0;10;False
149;Ты решил печатать свои постеры кровью. Теперь у нас есть 5 постеров на весь город и одно полумертвое тело по имени Грегори;;0;-20;0;False
150;"Бассист:""Шеф сказала, что нам нужна новая хореография. Мои идеи ей не зашли, так что теперь это твоя задача.";bassist;0;0;0;True
151;У тебя вышла странная смесь телодвижений, начинающаяся танцующими пальцами и заканчивающаяся червяком;;0;10;-10;False
152;Ты решил бегать по сцене на полусогнутых ногах как злой краб. Неудобно, злобно и страшно, хорошая работа!;;0;-10;10;False
153;Твой кот нагадил на диван;kot;0;0;0;True
154;Ты смирился и всё убрал.@Бета остается бетой.;metla;0;-5;0;False
155;Ты насрал в лоток коту.@Черт! А в голове это выглядело брутально :|;lotok;0;-10;0;False
156;"Бомж:""Хэй, капитан, мелочи не найдётся?""";bomzh2;0;0;0;True
157;Ты излил душу бомжу. Он решил отдать тебе все накопленные гроши. Надеюсь, что ты гордишься собой.;main_character_3;10;-10;0;False
158;Ты предлагаешь ему денег за его бессмертную душу. Бедолага бежит прочь, сверкая пятками.;main_character_1;-10;10;0;False
159;Ты видишь бродячего кота на улице.;kot_stoit;0;0;0;True
160;Ты гладишь кота и чувствуешь себя лучше.;kot;0;20;0;False
161; Ты гладишь кота и чувствуешь себя лучше. Кто вообще будет обижать котиков?;kot;0;20;0;False
162;"Шеф: ""Грегори, нам нужны оригинальные спецэффекты, придумай что-нибудь""";shef;0;0;0;True
163;Ты решил добавить больше прожекторов. Из-за обилия света теперь это скорее heaven-metal;;-10;10;-20;False
164; Ты дал барабанщику змей вместо палочек. Нас точно засудят за это.;;0;10;20;False
165;"Барабанщик: ""Если ты по настоящему крут, то победи меня в Street Fister""";drummer;0;0;0;True
166;Ты судорожно жал на все кнопки и проиграл. Get good bro;gamepad_broken;0;10;0;False
167;Проиграв, ты наложил проклятие на барабанщика. Ибо нехер!;gamepad_demon;0;-10;0;False
168;Грегори: «Я устал, нужно отдохнуть немного»;main_character_3;0;0;0;True
169;Ты пошел переспаривать людей в твитере. И правда, что они сделают, отменять тебя?;twitter;0;-10;10;False
