Text;SpriteName;MoneyImpact;psycheImpact;popularityImpact;isEncounter
My life has been the same for the last 5 years.@ My name is Gregory and I work as a janitor in a concert hall@ That day started as usual. I was washing the scene for some death metal group and after that… ;main_character_2;;;;false
Everything changed.;main_character_1;;;;false
*Talking on the phone* He… WHAT?!?!?@No, I hear you, I mean…@He will be alright in a week or something, right?@A MONTH?!?!?@Listen, there must be something we can…@Hello? HELLO??;shef;;;;false
Listen, there must be something we can… Hello? HELLO??@Shit.@Hey, you. ;shef;;;;false
…? ;main_character_3;;;;false
Yeah, you.@Can you scream really loud and scary? ;shef;;;;false
I… I used to cry a lot as a kid… My brothers often bullied me. ;main_character_3;;;;false
Meh… It’ll do. Come here.;shef;;;;false
What the…;main_character_1;;;;false
Cool, right?!@Our soloist has got into an accident and now you will replace him. I'll introduce you to the band. We need to do a lot of work so you won’t disappoint me. And be sure. You don’t wanna see me disappointed. ;shef;;;;false
*Gulp*;main_character_1;;;;false
Ok, see you later!;shef;;;;false
Постой дружище;logo2;;;;false
Что, стал звездой по неволе? Не ссы, щас я расскажу тебе как всё устроено.;logo2;;;;false
Становясь дэт-метал солистом, тебе предстоит сделать немало важных выборов. ;logo2;;;;false
Твой выбор будет влиять на твои показатели.;logo2;;;;false
Овациями сыт не будешь, поэтому группа всегда должна быть при деньгах. ;money;;;;false
Стресс всегда преследует звёзд. Старайся не съехать с катушек. ;stress;;;;false
Без зрителей вы никому не нужны, поэтому поддерживай уровень популярности. ;popularity;;;;false
Выбор ты сможешь сделать, нажав на один из пальцев. ;logo2;;;;false
Нажав на обычный палец, ты поступишь в своём привычном стиле обычного парня. ;angel_button;;;;false
Нажав на потрясный, металльный палец скелета, ты выпустишь свою темную сущность для исполнения своих задач. ;demon_button;;;;false
Ты никогда не знаешь заранее, что именно произойдёт при твоём выборе, однако ты можешь увидеть, на какие показатели повлияет твой выбор.;logo2;;;;false
Что ж, на этом пока всё. Скоро концерт, постарайся не развалить группу до этого момента!;jump_into_the_croud;;;;false
